,_id,timestamp,device_id,double_frequency,double_decibels,double_rms,is_silent,silence_threshold
90,91,1411637794097.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,211.0,2.9876406029447384,3084.9581244062742,0,1216.0
91,92,1411637804375.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,496.0,8.41468601263062,2303.1572978475597,0,1245.0
92,93,1411637815542.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,145.0,0.00026507636037961915,3619.6047966153096,0,1263.0
93,94,1411637826107.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,184.0,0.00026507636037961915,5970.182679860205,0,1298.0
94,95,1411637836785.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,253.0,10.938405811697567,1853.8132264963047,0,1363.0
95,96,1411637848770.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,142.0,2.4737173975055375,2934.4722393958205,0,1373.0
96,97,1411637859281.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,104.0,0.00026507636037961915,4418.019300587604,0,1397.0
97,98,1411637870432.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,83.0,0.00026507636037961915,7119.293197040984,0,1440.0
98,99,1411637880822.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,173.0,2.873976552388627,3820.4502441652558,0,1516.0
99,100,1411637891218.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,211.0,12.321344588529058,1490.04352448548,1,1549.0
100,101,1411637901703.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,319.0,11.867990655850882,1733.6642625299776,0,1552.0
101,102,1411637913265.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,86.0,0.00026507636037961915,4831.991936795523,0,1558.0
102,103,1411637923730.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,131.0,9.632484820128152,1431.4048647111515,1,1602.0
103,104,1411637934199.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,72.0,8.00278080098437,1632.3014096443965,0,1604.0
104,105,1411637944879.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,90.0,0.00026507636037961915,4520.569713223993,0,1608.0
